127.0.0.1 - - [15/Nov/2022:13:52:31 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:41 +0700] "GET /api-product?action=sellProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A5%7D HTTP/1.1" 200 3098
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:56:41 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A0%2C%22maxItem%22%3A12%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 7324
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:02 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A12%2C%22maxItem%22%3A4%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:05 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A16%2C%22maxItem%22%3A4%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:07 +0700] "GET /api-product?action=allProduct&paging=%7B%22offset%22%3A20%2C%22maxItem%22%3A4%2C%22sortName%22%3A%22view%22%2C%22sortBy%22%3A%22desc%22%7D HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:14 +0700] "GET /product?action=productDetail&id=15 HTTP/1.1" 200 46517
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:14 +0700] "GET /product?action=productDetail&id=15 HTTP/1.1" 200 46517
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:14 +0700] "GET /api-category?action=allCategory HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:14 +0700] "GET /api-product?action=detailProduct&id=15 HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:20 +0700] "GET /api-cart?action=numberItem&id=15 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:27 +0700] "GET /api-cart?action=numberItem&id=15 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:47 +0700] "GET /cart HTTP/1.1" 200 7638
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:47 +0700] "GET /api-cart?action=allItem&cart=%7B%22listCartItem%22%3A%5B%7B%22varietyId%22%3A15%2C%22userQuantity%22%3A1%7D%5D%7D HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [15/Nov/2022:13:57:47 +0700] "GET /api-category?action=allCategory HTTP/1.1" 200 483
